City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,severo-yeniseyskiy,60.3725,93.0408,4.62,89,100,4.31,RU,1695846292
223,puerto aysen,-45.4,-72.7,5.71,100,100,1.63,CL,1695846292
224,sigayevo,56.4216,53.7757,9.16,80,5,2.25,RU,1695846292
225,sitka,57.0531,-135.33,11.94,94,100,6.17,US,1695846292
226,baganga,7.5739,126.56,25.67,85,68,1.88,PH,1695846293
227,port lincoln,-34.7333,135.8667,12.45,79,0,2.65,AU,1695846293
228,wailua homesteads,22.0669,-159.378,27.24,79,96,2.24,US,1695846293
229,lompoc,34.6391,-120.4579,32.79,52,20,9.26,US,1695846293
230,harper,4.375,-7.7169,25.45,90,34,3.9,LR,1695846293
231,toliara,-23.35,43.6667,22.79,83,80,0.16,MG,1695846293
232,guaruja,-23.9931,-46.2564,25.92,100,23,0.51,BR,1695846293
233,juan griego,11.0817,-63.9655,33.07,62,5,6.69,VE,1695846293
234,tuzlukcu,38.4778,31.6264,21.31,43,57,1.87,TR,1695846293
235,island harbour,50.724,-1.2758,17.32,84,47,4.47,GB,1695846294
236,vina del mar,-33.0246,-71.5518,19.04,60,0,7.2,CL,1695846294
237,codrington,-38.2667,141.9667,7.41,96,24,3.62,AU,1695846294
238,sao joao da barra,-21.6403,-41.0511,32.05,76,85,6.79,BR,1695846294
239,tannum sands,-23.9504,151.3693,14.94,88,0,2.57,AU,1695846294
240,vrsac,45.1167,21.3036,15.9,82,0,2.57,RS,1695846294
241,garrni,40.1193,44.7344,15.33,55,0,2.24,AM,1695846294
242,saqqez,36.2499,46.2735,14.89,59,0,1.42,IR,1695846265
243,santo antonio,-6.3106,-35.4789,26.7,54,51,5.73,BR,1695846295
244,les avirons,-21.2418,55.3394,21.05,68,0,8.75,RE,1695846295
245,nemuro,43.3236,145.575,16.59,85,100,4.18,JP,1695846295
246,anadyr,64.75,177.4833,5.28,86,40,4.0,RU,1695846295
247,piti village,13.4626,144.6933,26.49,91,40,0.0,GU,1695846295
248,anamur,36.0751,32.8369,26.63,54,0,3.09,TR,1695846295
249,angaur state,6.906,134.13,28.19,82,99,8.29,PW,1695846295
250,kijang,35.2442,129.2139,22.85,83,0,1.98,KR,1695846296
251,east london,-33.0153,27.9116,16.24,69,100,7.25,ZA,1695846296
252,susuman,62.7833,148.1667,-2.62,98,95,1.81,RU,1695846296
253,bardai,11.65,7.2333,27.8,57,99,3.76,NG,1695846296
254,benjamin constant,-4.3831,-70.0311,32.03,62,40,3.09,BR,1695846296
255,kattivakkam,13.2167,80.3167,26.15,86,98,6.01,IN,1695846296
256,luza,60.6308,47.2512,10.31,93,34,2.61,RU,1695846297
257,kruisfontein,-34.0033,24.7314,11.06,81,2,1.15,ZA,1695846297
258,chudniv,50.052,28.1175,13.75,55,3,3.17,UA,1695846297
259,tenenkou,14.4572,-4.9169,34.75,28,91,2.88,ML,1695846297
260,kantang,7.4054,99.5156,24.43,89,100,0.73,TH,1695846297
261,jamestown,42.097,-79.2353,20.77,35,100,4.12,US,1695846244
262,cidreira,-30.1811,-50.2056,15.61,77,98,8.19,BR,1695846299
263,san felipe,10.3399,-68.7425,32.3,51,57,3.43,VE,1695846299
264,altay,47.8667,88.1167,2.21,54,0,2.92,CN,1695846299
265,fort mcmurray,56.7268,-111.381,21.73,37,20,4.12,CA,1695846175
266,hami,42.8,93.45,13.84,26,0,2.87,CN,1695846299
267,luwingu,-10.2621,29.9271,26.36,39,100,0.88,ZM,1695846299
268,holmsund,63.706,20.3641,12.19,100,75,2.24,SE,1695846299
269,bolobo,-2.1667,16.2333,25.76,74,100,0.81,CD,1695846299
270,el nido,11.1858,119.3956,27.41,80,80,4.26,PH,1695846299
271,ibradi,37.0969,31.5992,17.21,62,0,1.25,TR,1695846300
272,port elizabeth,-33.918,25.5701,13.51,83,75,1.54,ZA,1695846190
273,nuuk,64.1835,-51.7216,3.34,87,75,2.06,GL,1695846148
274,burang,30.25,81.1667,4.81,62,3,1.42,CN,1695846300
275,papao,-17.75,-149.55,26.82,85,0,8.05,PF,1695846300
276,westport,41.1415,-73.3579,20.49,65,0,3.09,US,1695846089
277,tralee,52.2704,-9.7026,14.14,88,40,11.32,IE,1695846300
278,laguna,38.421,-121.4238,29.05,43,0,4.63,US,1695846300
279,kirovskiy,45.0917,133.5136,14.3,97,100,3.26,RU,1695846079
280,malpica,43.3228,-8.8105,21.09,71,100,0.6,ES,1695846300
281,la jolla,32.8473,-117.2742,32.56,68,40,3.6,US,1695846301
282,taoudenni,22.6783,-3.9836,38.23,9,5,1.44,ML,1695846301
283,nyurba,63.2842,118.3319,5.92,65,100,3.06,RU,1695846301
284,kudymkar,59.0173,54.656,11.21,77,99,3.66,RU,1695846263
285,odesskoye,54.2111,72.9651,9.35,64,17,0.58,RU,1695846085
286,jintur,19.6167,76.7,24.45,87,93,1.82,IN,1695846301
287,torghay,49.6339,63.4981,14.46,51,97,2.84,KZ,1695846302
